policy,T,phi_scan_index,phi,phi_over_pi,w_loc3_ABB,w_loc5_ABB,primary_mask_from_scan,sensitivity_mask_from_scan
fixed,6000,70,1.8435040224190107,0.5868055555555556,0.21905521390227184,0.250535461926114,0,0
fixed,6000,71,1.8467765147665,0.5878472222222223,0.22704980506826367,0.2591656353188215,0,0
fixed,6000,72,1.8500490071139895,0.5888888888888889,0.23518299445066465,0.26789445938195217,0,0
fixed,6000,73,1.8533214994614788,0.5899305555555556,0.24343460243818701,0.27668746484485957,0,0
fixed,6000,74,1.856593991808968,0.5909722222222222,0.25175223818552755,0.2855013040579411,0,0
fixed,6000,75,1.8598664841564574,0.5920138888888888,0.2601560345037936,0.29435803404360894,0,0
fixed,6000,76,1.8631389765039468,0.5930555555555556,0.2686115365892663,0.30320585703510805,0,0
fixed,6000,77,1.8664114688514362,0.5940972222222223,0.2770717262909502,0.31202569386177703,0,0
fixed,6000,78,1.8696839611989255,0.5951388888888889,0.28558592077771067,0.3208439531597,0,0
fixed,6000,79,1.872956453546415,0.5961805555555556,0.2940509875513366,0.3295742441872316,0,0
fixed,6000,80,1.8762289458939043,0.5972222222222222,0.3025290792301913,0.3382821105888009,0,0
scaled,3000,0,1.6144295580947547,0.5138888888888888,0.32915481853766854,0.35086044430938507,0,0
scaled,3000,1,1.6177020504422441,0.5149305555555556,0.32619634081861876,0.3482264425808499,0,0
scaled,3000,2,1.6209745427897335,0.5159722222222222,0.32312894274395837,0.3454922930783261,0,0
scaled,3000,3,1.624247035137223,0.5170138888888889,0.31997092576315445,0.34267553586721944,0,0
scaled,3000,4,1.6275195274847123,0.5180555555555556,0.3167458888153233,0.33979801055414427,0,0
scaled,3000,5,1.6307920198322017,0.5190972222222222,0.31339447266050513,0.3368039692331564,0,0
scaled,3000,6,1.634064512179691,0.5201388888888889,0.3099235958762294,0.33370021154119445,0,0
scaled,3000,7,1.6373370045271802,0.5211805555555555,0.30634005167203077,0.33049232780758225,0,0
scaled,3000,8,1.6406094968746696,0.5222222222222221,0.3026411692262716,0.3271750071322102,0,0
scaled,3000,9,1.643881989222159,0.5232638888888889,0.2988335952732538,0.32375461234041597,0,0
scaled,3000,10,1.6471544815696484,0.5243055555555556,0.2948366177989456,0.3201522801737324,0,0
scaled,3000,11,1.6504269739171378,0.5253472222222222,0.2906899128762912,0.3163999748079777,0,0
scaled,3000,12,1.6536994662646272,0.5263888888888889,0.2864618360424689,0.3125635014360066,0,0
scaled,3000,13,1.6569719586121165,0.5274305555555555,0.2820438459959377,0.3085318339250951,0,0
scaled,3000,14,1.660244450959606,0.5284722222222222,0.27741936744697426,0.3042845140703681,0,0
scaled,3000,15,1.6635169433070953,0.5295138888888888,0.2726299449039677,0.2998640350868385,0,0
scaled,3000,16,1.6667894356545847,0.5305555555555556,0.2676501502352764,0.29523631616446316,0,0
scaled,3000,17,1.670061928002074,0.5315972222222223,0.2625300059682048,0.29044991039064294,0,0
scaled,3000,18,1.6733344203495635,0.5326388888888889,0.2571750743194325,0.285416040996387,0,0
scaled,3000,19,1.6766069126970529,0.5336805555555556,0.2514202066372604,0.27996404065697117,0,0
scaled,3000,20,1.679879405044542,0.5347222222222222,0.24547911491741356,0.2743034733005896,0,0
scaled,3000,21,1.6831518973920314,0.5357638888888888,0.23945151808765047,0.2685364254030239,0,0
scaled,3000,22,1.6864243897395208,0.5368055555555555,0.23300073423939785,0.2623110763764671,0,0
scaled,3000,23,1.6896968820870102,0.5378472222222223,0.22610148662987203,0.2555755961127061,0,0
scaled,3000,24,1.6929693744344996,0.5388888888888889,0.2189540369906742,0.24852613104174331,0,0
scaled,3000,25,1.696241866781989,0.5399305555555556,0.21145515344250754,0.241042331528575,0,0
scaled,3000,26,1.6995143591294783,0.5409722222222222,0.2036629485601908,0.23316354084801683,0,0
scaled,3000,27,1.7027868514769677,0.5420138888888889,0.1957746050032982,0.22509776162445122,0,0
scaled,3000,28,1.7060593438244571,0.5430555555555555,0.18732423473032425,0.21631181328754148,0,0
scaled,3000,29,1.7093318361719465,0.5440972222222222,0.17769386356253883,0.20607700589639474,0,0
scaled,3000,30,1.712604328519436,0.545138888888889,0.16751546143898738,0.19507036554331417,0,0
scaled,3000,31,1.7158768208669253,0.5461805555555556,0.15809758983854302,0.18476903894240987,0,0
scaled,3000,32,1.7191493132144147,0.5472222222222223,0.14931213911089694,0.1750288221062664,0,0
scaled,3000,33,1.722421805561904,0.5482638888888889,0.13943120286915325,0.1637559977597126,0,0
scaled,3000,34,1.7256942979093934,0.5493055555555556,0.12722729815665793,0.14934342982188448,0,1
scaled,3000,35,1.7289667902568826,0.5503472222222222,0.1135516017664082,0.13267409014648673,0,1
scaled,3000,36,1.732239282604372,0.5513888888888889,0.10075148745645553,0.11658287771756606,0,1
scaled,3000,37,1.7355117749518614,0.5524305555555555,0.0908370398486839,0.10376817378671614,1,1
scaled,3000,38,1.7387842672993508,0.5534722222222223,0.08452016781070903,0.09539497670540993,1,1
scaled,3000,39,1.7420567596468401,0.5545138888888889,0.08146419054383765,0.09115730904834529,1,1
scaled,3000,40,1.7453292519943295,0.5555555555555556,0.08077339921794979,0.08999517851765183,1,1
scaled,3000,41,1.748601744341819,0.5565972222222222,0.08154156643128332,0.09078724507256647,1,1
scaled,3000,42,1.7518742366893083,0.5576388888888889,0.08314910723606365,0.09270621210650527,1,1
scaled,3000,43,1.7551467290367977,0.5586805555555556,0.0851963615419713,0.09523144724877348,1,1
scaled,3000,44,1.758419221384287,0.5597222222222222,0.0874940966911267,0.09808904713620294,1,1
scaled,3000,45,1.7616917137317765,0.560763888888889,0.08996861844722288,0.10115432745278888,1,1
scaled,3000,46,1.7649642060792659,0.5618055555555556,0.09254620737122737,0.10435547400555904,1,1
scaled,3000,47,1.768236698426755,0.5628472222222222,0.09522877635168624,0.10768020500005847,1,1
scaled,3000,48,1.7715091907742444,0.5638888888888889,0.09805304269293674,0.1111555644823661,1,1
scaled,3000,49,1.7747816831217338,0.5649305555555555,0.10102204553027389,0.11480369534946548,0,1
scaled,3000,50,1.7780541754692232,0.5659722222222222,0.10417592980373563,0.11866678149223155,0,1
scaled,3000,51,1.7813266678167126,0.5670138888888889,0.107560564549747,0.12279777206724281,0,1
scaled,3000,52,1.784599160164202,0.5680555555555555,0.11119237151203243,0.12722951229634952,0,1
scaled,3000,53,1.7878716525116913,0.5690972222222223,0.11512450350977918,0.1319996296826515,0,1
scaled,3000,54,1.7911441448591807,0.5701388888888889,0.11939405059776707,0.13713454004958117,0,1
scaled,3000,55,1.79441663720667,0.5711805555555556,0.12395815099759486,0.142606546353381,0,1
scaled,3000,56,1.7976891295541595,0.5722222222222223,0.12878388584057107,0.14836691143528163,0,1
scaled,3000,57,1.8009616219016489,0.5732638888888889,0.13386862371697994,0.15437475693972486,0,0
scaled,3000,58,1.8042341142491383,0.5743055555555556,0.13916181091348315,0.16057493959797106,0,0
scaled,3000,59,1.8075066065966277,0.5753472222222222,0.14460396327703173,0.16691530036870691,0,0
scaled,3000,60,1.810779098944117,0.576388888888889,0.1501980123960526,0.17338937381534145,0,0
scaled,3000,61,1.8140515912916064,0.5774305555555557,0.15597043733062002,0.1800297974715297,0,0
