phi_index,phi,phi_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,deltaP_late_mean_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,mismatch_eligible,adv_v
20,1.7453292519943295,0.5555555555555556,fixed,6000,200,250,-0.05978797412260078,-0.011492492128588055,0.08857645196447345,0.3004079002053088,0.08152819369891794,0.09120229511587366,0.018234109335094305,1,1,1,1,1,1,1,1,1,0,1,0.1000689440930615
20,1.7453292519943295,0.5555555555555556,scaled,3000,2000,2500,-0.05978796818159714,-0.01148659419623195,0.08863814442895698,0.30155457617750897,0.08077339921794979,0.08999517851765183,0.018026456730219128,1,1,1,1,1,1,1,1,1,0,1,0.10012473862518893
20,1.7453292519943295,0.5555555555555556,scaled,6000,4000,5000,-0.059787960193993385,-0.011492230670044783,0.0885322597396684,0.3004229523621729,0.07911522634434633,0.08761181665482141,0.017693378564463392,1,1,1,1,1,1,1,1,1,0,1,0.10002449040971317
21,1.832595714594046,0.5833333333333333,fixed,3000,200,250,-0.060270786280726525,-0.010511708417048439,0.07914925544003583,0.23105880339900622,0.19353268488345016,0.222826578606388,0.034175537842412826,1,1,1,1,1,1,1,0,0,0,1,0.08966096385708427
21,1.832595714594046,0.5833333333333333,fixed,6000,200,250,-0.0602707489131908,-0.010512734062276308,0.07908830629427972,0.2326507967505917,0.1935461282966167,0.22259972356841215,0.0342247722076926,1,1,1,1,1,1,1,0,0,0,1,0.08960104035655603
21,1.832595714594046,0.5833333333333333,scaled,3000,2000,2500,-0.06027074113990781,-0.010509866212316322,0.07918607948514672,0.23397499563100602,0.19349415657812302,0.22234608785093418,0.03424999589032924,1,1,1,1,1,1,1,0,0,0,1,0.08969594569746304
21,1.832595714594046,0.5833333333333333,scaled,6000,4000,5000,-0.060270731348412473,-0.010512124238750586,0.07907843016801368,0.23425127366903828,0.19355494886090543,0.22239302029265984,0.03425611515821029,1,1,1,1,1,1,1,0,0,0,1,0.08959055440676426
22,1.9198621771937625,0.6111111111111112,fixed,3000,200,250,-0.06062515488877673,-0.009699410085044234,0.08009522885294991,0.3900323658182409,0.40945835918240386,0.4461172804860961,0.08646038472924986,1,1,1,1,1,1,1,0,0,0,1,0.08979463893799414
22,1.9198621771937625,0.6111111111111112,fixed,6000,200,250,-0.06062510608954133,-0.009700609508230516,0.08013821659611221,0.38985684364616036,0.4092972530770223,0.4459829241351331,0.08639679480732156,1,1,1,1,1,1,1,0,0,0,1,0.08983882610434273
22,1.9198621771937625,0.6111111111111112,scaled,3000,2000,2500,-0.06062509627668063,-0.009689564468444682,0.08003549236059668,0.3924802456441528,0.4089942896436052,0.44521655122167747,0.0866318124399866,1,1,1,1,1,1,1,0,0,0,1,0.08972505682904136
22,1.9198621771937625,0.6111111111111112,scaled,6000,4000,5000,-0.06062508210138196,-0.009702416411413133,0.08018160473433161,0.38796755221324813,0.4090510426641469,0.4459523166562649,0.08615902345000688,1,1,1,1,1,1,1,0,0,0,1,0.08988402114574474
