label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,v_fit,6,3000,12000,-0.05983840219401887,5.283137223695101e-10,-0.05983840526647566,1.319302389397594e-11
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,deltaP_late_mean,6,3000,12000,-0.07436688548869112,1.0484068250805094e-08,-0.07436683022098146,4.433733016957441e-09
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,w_loc3,6,3000,12000,0.6272441546089482,1.2127074691284607e-06,0.627242946254682,1.1947863677951481e-06
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,w_loc5,6,3000,12000,0.6436212644569231,1.4841278285668102e-07,0.6436211060219146,1.4589252172749495e-07
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,P0bar,6,3000,12000,0.20994841214526294,2.8327690637766565e-05,0.20997603513255272,2.7926893428061703e-05
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,v_fit,6,3000,12000,-0.011391762777669838,3.2491425803839294e-07,-0.01139055818921482,2.503853742832232e-07
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,deltaP_late_mean,6,3000,12000,-0.03471799812720995,0.00019192358544339026,-0.034193113720110295,0.000169392541401005
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,w_loc3,6,3000,12000,0.9182661508124502,8.032270611183175e-11,0.9182661509459712,7.697365457860764e-11
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,w_loc5,6,3000,12000,0.9185970770620353,1.0722693769873166e-09,0.918597083299424,1.2693097939113919e-11
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,P0bar,6,3000,12000,0.42219948685540487,5.576266655931542e-07,0.4222027305020342,7.505074006356877e-09
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,v_fit,6,3000,12000,-0.011393281806684375,4.042032419617009e-06,-0.011374767397184116,2.4918175769201203e-06
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,deltaP_late_mean,6,3000,12000,-0.03495887390548383,0.0004983605837726515,-0.03578072729546773,0.000477917015671503
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,w_loc3,6,3000,12000,0.9182661839216192,3.73143902295087e-08,0.9182661590183093,3.7068021702251314e-08
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,w_loc5,6,3000,12000,0.9185970810875157,8.69519919650907e-10,0.9185970853359623,4.719409060655002e-10
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,P0bar,6,3000,12000,0.42214601487411324,5.695824057073909e-05,0.42220161276177137,5.6150706333031604e-05
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,v_fit,6,3000,12000,0.0870310532961754,3.2754237232713815e-06,0.08704375400946097,2.441704957532691e-06
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,deltaP_late_mean,6,3000,12000,0.2898383941390462,5.062655374115574e-05,0.2897540013018143,4.850356910395691e-05
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,w_loc3,6,3000,12000,0.08324985708779815,2.9696738415471413e-05,0.08315764036934341,2.5112042853915457e-05
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,w_loc5,6,3000,12000,0.09263862279010014,4.0730090642664935e-05,0.09251108549440348,3.4326446262716454e-05
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,P0bar,6,3000,12000,0.018011365119749025,4.09018126167644e-06,0.017994174523867222,2.8279661675706665e-06
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,v_fit,6,3000,12000,0.08704050889193071,2.2525010331725244e-05,0.08712567123270826,1.7119258737947696e-05
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,deltaP_late_mean,6,3000,12000,0.2891176051499209,0.0003153173720354329,0.290557609733848,0.00019532551217650053
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,w_loc3,6,3000,12000,0.08279290543211022,0.0001495232786652275,0.08341003702559635,0.00010537300779708704
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,w_loc5,6,3000,12000,0.09199737351507133,0.00020629493697345996,0.09285719745706494,0.00014391727332773165
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,P0bar,6,3000,12000,0.017950524525853946,1.4432634053250057e-05,0.018017884383456122,8.6155215411047e-06
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,fixed,v_fit,6,3000,12000,-0.05971213274595325,9.91866056137654e-10,-0.059712138483778696,1.047399297902336e-10
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,fixed,deltaP_late_mean,6,3000,12000,-0.07411370060079582,2.627594048078965e-09,-0.07411371367415331,1.3616052578139382e-09
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,fixed,w_loc3,6,3000,12000,0.6260099530078568,1.1958394683380481e-08,0.6260098834436055,1.0298643327246139e-10
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,fixed,w_loc5,6,3000,12000,0.6425120334895557,1.32124468636541e-09,0.6425120258166012,7.757981335549919e-11
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,fixed,P0bar,6,3000,12000,0.20927629850546758,2.7606335662059965e-07,0.2092779043334099,3.70394615750451e-09
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,scaled,v_fit,6,3000,12000,-0.05971213876161037,4.844305004252616e-10,-0.05971214156161075,5.485870180986476e-11
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,scaled,deltaP_late_mean,6,3000,12000,-0.07411371371861307,1.209974337049088e-08,-0.0741137431616596,1.0990361930207315e-08
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,scaled,w_loc3,6,3000,12000,0.6260111030125148,1.2196276940737048e-06,0.6260099025914215,1.2020446862497678e-06
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,scaled,w_loc5,6,3000,12000,0.6425121778892052,1.5004698186201654e-07,0.642512026083107,1.477604130306663e-07
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,scaled,P0bar,6,3000,12000,0.20924979912500238,2.8233437998321357e-05,0.20927733912146773,2.783371366487872e-05
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,fixed,v_fit,6,3000,12000,-0.011645073985272291,1.4973529373345347e-07,-0.011644281481603977,6.214591682519005e-08
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,fixed,deltaP_late_mean,6,3000,12000,-0.035631850710782204,8.374031132384724e-05,-0.03534134869836782,6.72217682197243e-05
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,fixed,w_loc3,6,3000,12000,0.9164407803147354,2.1493624480372295e-10,0.9164407791979193,9.665327549435243e-11
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,fixed,w_loc5,6,3000,12000,0.9167963629064477,1.0642754986248933e-09,0.916796369097124,1.5372829482997215e-11
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,fixed,P0bar,6,3000,12000,0.4205715804723464,5.548113457072764e-07,0.4205748077601238,7.239953796688844e-09
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,scaled,v_fit,6,3000,12000,-0.011645079259702157,1.341843474186767e-06,-0.01164247592891179,1.2650222236544653e-06
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,scaled,deltaP_late_mean,6,3000,12000,-0.036424797524393975,0.00048725600452274225,-0.034871882550894906,0.0004076271753702978
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,scaled,w_loc3,6,3000,12000,0.9164408194138964,3.966395181075752e-08,0.9164407832809874,3.917461432576556e-08
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,scaled,w_loc5,6,3000,12000,0.9167963676259259,6.704669504755093e-10,0.9167963705339305,4.468176226106567e-10
pp_primary_left_T6000,B,1.733178845836952,0.5516879611545139,scaled,P0bar,6,3000,12000,0.4205183232227942,5.673903828424711e-05,0.42057368431050374,5.593527972497554e-05
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,fixed,v_fit,6,3000,12000,0.09149281462222071,1.5579536169364865e-05,0.09140407890661269,3.1706628956518763e-06
