label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,8000,5333,6666,-0.011390547458691959,-0.01138308924406997,-0.011391215996866266,0.00013728928523250826,-0.03410855462862128,-0.02293386212024194,0.9182661505144023,0.9185970834755468,0.42220260815523175,-91.12972797493013,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,10000,6666,8333,-0.0113912438275926,-0.01139436235568258,-0.011381372609741673,0.00012004287719541429,-0.03506128110593012,0.02644394601694082,0.9182660677639582,0.9185970825329312,0.4223292050572138,-113.81372609741673,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,12000,8000,10000,-0.011391602169729535,-0.011394372111616643,-0.011398218430867304,9.478646588694482e-05,-0.03526070460843444,-0.06389468823626188,0.9182660818239223,0.9185970826611111,0.4223081327110418,-136.77862117040763,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,300,200,250,0.08609136851376605,0.08572526864905955,0.08732758374052152,0.001368289990029331,0.28800862351507955,0.24437843787022268,0.10141290747533875,0.12391646979800848,0.021577917492354104,26.198275122156456,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,600,200,250,0.08658379679731901,0.08664332451010724,0.08721776886884895,0.0014781048617018983,0.28463259365079535,0.2682621555010563,0.09239141411102345,0.10804363818337133,0.020092576852608166,52.33066132130937,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,900,200,250,0.08681779966897615,0.08686122722555843,0.08712586227615993,0.0015700114543909238,0.28467360536094066,0.2733169420076208,0.0888760480631569,0.10231648731617318,0.01937686581874717,78.41327604854393,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,1200,200,250,0.08695410402028793,0.08698609042592437,0.08712555539113082,0.0015703183394200348,0.28510275280375863,0.2668961399557873,0.08719541596236706,0.09954900911435345,0.019041543002792167,104.55066646935698,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,1500,200,250,0.08704214743451692,0.08706661113543619,0.08718638121911482,0.0015094925114360336,0.2857489201114363,0.2802589580676641,0.08632679365900171,0.09806194231297966,0.018853958477744112,130.77957182867223,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,2000,200,250,0.0871211361145063,0.08713728529757908,0.08707332308546374,0.0016225506450871091,0.2869647007391719,0.26430567166443736,0.08563373520068894,0.09681789198217566,0.018654218873436868,174.14664617092748,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,3000,200,250,0.08714882595276408,0.08715600119982383,0.08718826076572765,0.001507612964823199,0.2885264820665686,0.31838705145241314,0.08511814841095999,0.09580438371833777,0.01846848494421821,261.56478229718294,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,4000,200,250,0.08711975887506643,0.08712291522710988,0.08714419933772026,0.0015516743928305904,0.2889792565152263,0.274024938011295,0.08473444762792579,0.09512755234875037,0.018366502319662064,348.57679735088107,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,6000,200,250,0.08708252652508373,0.08708335465578129,0.08709738014254821,0.001598493588002639,0.28913747226776965,0.2680930705069545,0.0841780075260619,0.09421371739853221,0.01824220839246062,522.5842808552893,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,8000,200,250,0.08707399592579607,0.08707435527653767,0.08706678883357821,0.001629084896972638,0.28938286653919587,0.2843757262899784,0.08397363662765872,0.09385742965658529,0.01818449124790999,696.5343106686257,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,10000,200,250,0.08706693393588223,0.08706709632971911,0.08708806366469957,0.001607810065851284,0.28944749323988583,0.2610622112434821,0.08380866633440733,0.09358655210458153,0.01814892958610922,870.8806366469956,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,fixed,12000,200,250,0.08706387324802167,0.08706396126092901,0.08707821702941923,0.00161765670113162,0.2895266302268529,0.2786020315989306,0.08372212858015438,0.09343672598945064,0.01812576024108694,1044.9386043530308,1
pp_primary_mid_T6000,ABB,1.7535935734890633,0.5581861707899305,scaled,300,200,250,0.08609136851376605,0.08572526864905955,0.08732758374052152,0.001368289990029331,0.28800862351507955,0.24437843787022268,0.10141290747533875,0.12391646979800848,0.021577917492354104,26.198275122156456,1
