phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
10,0.8726646259971648,0.2777777777777778,-0.05174193245784704,-0.05173666590950728,-0.05177706846677268,7.162496603208002e-06,1,-0.06138123193574013,-0.06366987647176738,-0.06167349993912366,0.002308283910651465,1,0.10162424667594457,0.10174354718914252,0.1014944931075641,0.00141196791072222,1,0.1533661791337916,0.3441432510287198,0.39628302888660455,0.5893137358401755,0.595572512607535,0.1942877492801357,1,1,0,0,0
11,0.9599310885968813,0.3055555555555556,-0.052643804434728825,-0.052639132202733904,-0.052666749600348436,5.091464199108442e-06,1,-0.047235916365386946,-0.04730700878424301,-0.047204995913890685,0.0031770838139678,1,0.11140307072933658,0.11175917299828439,0.1114199936107212,0.0018640444915221516,1,0.15863898709472352,0.373660704127894,0.4573935695724948,0.5732802224480577,0.579677562098809,0.18572815642529142,1,1,0,0,0
12,1.0471975511965976,0.3333333333333333,-0.05354750247179133,-0.05354435789014368,-0.053562106044308964,4.326521487532653e-06,1,-0.03879155192411197,-0.03875175760480491,-0.0380846711139849,0.0028291809126490333,1,0.1203908143897894,0.12053513662681453,0.1199414263245996,0.0021343872574163952,1,0.15918236631390137,0.40298969393240447,0.49080025377130576,0.5539169355050061,0.5606677055645828,0.17583604833778332,1,1,0,0,0
13,1.1344640137963142,0.3611111111111111,-0.054442847635631605,-0.054439530066423075,-0.05445286590713124,4.8064618810989e-06,1,-0.02999410799805783,-0.027974216567871323,-0.030528923068463172,0.002971210814171489,1,0.12777511300575226,0.12742966297153058,0.12688005358124518,0.0020218314152929545,1,0.15776922100381008,0.42919820009806103,0.49913221607393643,0.5314804510265615,0.5387990343964888,0.16515966784435135,1,1,0,0,0
14,1.2217304763960306,0.3888888888888889,-0.055324740488364284,-0.05531951608610291,-0.05533149833030386,4.270934748390465e-06,1,-0.02510859163144585,-0.030490307885248723,-0.025797940002575626,0.00362143948667875,1,0.1332428064093217,0.13260304934495828,0.13212422048040853,0.001994219880202458,1,0.15835139804076756,0.45252926207518085,0.5128827072694278,0.506185004241382,0.514308163377226,0.15396797869682027,1,1,0,0,0
15,1.3089969389957472,0.4166666666666667,-0.056186935759683296,-0.05618308836297553,-0.056189576112262996,2.8053525495397302e-06,1,-0.020840523118042298,-0.01898333694433294,-0.020768483308046547,0.003796307383908737,1,0.13631952649892606,0.13575425234849667,0.1351907850634846,0.0022115625365627667,1,0.15716004961696836,0.4730007685640124,0.5401461886015805,0.47810289712901627,0.4873638446509445,0.14240853043810983,1,1,0,0,0
16,1.3962634015954636,0.4444444444444444,-0.057018284770772455,-0.057016889626653286,-0.05701375035300096,3.5178633646937296e-06,1,-0.01770122094580185,-0.012243126449997152,-0.0182015938939875,0.0034341283580259473,1,0.13611641027447466,0.13598129025205888,0.13526584965465238,0.0026201060891198613,1,0.1538176312202765,0.4889325399144787,0.5778767531343267,0.4467141538943494,0.4577964780040205,0.13041180543250283,1,1,0,0,0
17,1.48352986419518,0.4722222222222222,-0.057804965212560275,-0.057800441503309104,-0.05779340852689093,2.943662783992662e-06,1,-0.016327215514569678,-0.014931355401142573,-0.016514333887082032,0.0036474132396243798,1,0.1313649182630892,0.13189163297890574,0.1312388245115365,0.0030174096242171766,1,0.14769213377765886,0.4966725208619231,0.6114074492403818,0.4101172292173514,0.42452635070408457,0.11742396871285081,1,1,0,0,0
18,1.5707963267948966,0.5,-0.05853787724443366,-0.058533447967914654,-0.05852412901204294,4.851241148372265e-06,1,-0.015372458835805805,-0.018724238873111594,-0.014705388218126315,0.0038830114398700436,1,0.12083352057243694,0.12215452644312087,0.1219751200672286,0.003127707654219533,1,0.13620597940824275,0.48874291220429666,0.6139369859316702,0.36311023073562554,0.38357002307676846,0.10164341762837263,1,1,0,0,0
19,1.658062789394613,0.5277777777777778,-0.05920622534628948,-0.059210774092562986,-0.05918849784275838,8.388333548124682e-06,1,-0.014057313029031014,-0.019186882442206416,-0.012911764433836742,0.003628411447532098,1,0.10517735958086415,0.10696393054714498,0.10741251872359235,0.0026998335142622704,1,0.11923467260989516,0.44333960015335033,0.5274782351264266,0.2877842118760865,0.31762551673961587,0.07691812230898819,1,1,0,0,0
