label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,4,2,0.9817170283212978,0.9945756709854457,0.21857591450533667,0.18545681061410071,0.0007863817003965737,1,0.9285787799727465,0.1143793115533971
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,5,22,0.026728772221854886,0.03554842205060868,0.005113630316267488,0.002300961606342207,0.0023319977678128026,1,0.0,0.012825410247384397
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,6,60,0.026741904825925384,0.035546040640845926,0.005047932773427126,0.00230107147588224,0.00234188556681421,1,3.0198774876868207e-06,0.018347988357489627
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,7,59,0.026708364325490397,0.03554206187728698,0.00517576894662523,0.0023008863175525917,0.0023198555572029244,1,0.0,0.006452405692492548
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,8,20,0.026746016110858063,0.03553329852143161,0.004978183614673639,0.002301204472438998,0.0023492851079414635,1,3.3756744677322024e-05,0.021673173446191102
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,9,24,0.02668225505626252,0.03552846713478258,0.005234816465359662,0.0023008566617517432,0.002305690663119869,1,1.021397980758101e-05,0.001665712839702624
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,10,56,0.026651812969696213,0.03550899683907215,0.005291197964383136,0.00230088284281174,0.002289729532926734,1,1.5446005567131043e-05,0.0007068662982105997
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,11,62,0.02673922296560338,0.03550850072137288,0.0049038828435557106,0.0023013492470206134,0.0023539645621538673,1,8.464358828296505e-05,0.02381938218715144
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,12,25,0.026618170934326203,0.035484827899932146,0.005345278314635748,0.002300973831940797,0.0022721912821762466,1,9.234740086687547e-06,0.002537974882752712
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,13,18,0.026719540114618127,0.03546991100355694,0.004824539938312006,0.0023014951086317414,0.002355698985033909,1,0.00014951517315021467,0.027543399276215325
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,14,82,0.026582199190998964,0.035456923462406746,0.0053973452417838816,0.0023011370406178944,0.0022532867907779897,1,0.0,0.007594613246195864
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,15,28,0.026544481590221408,0.03542600368977685,0.0054475930728705374,0.002301378038208457,0.002233218886497745,1,0.0,0.013252305918618833
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,16,66,0.02668491248412078,0.03541578215808718,0.004739689057258723,0.0023016326035023545,0.002354275588816649,1,0.00020750740820993165,0.03348293122751123
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,1,1,0.9902715969706462,0.9987865133978125,0.36597356901287226,0.27341222087226225,0.2925304580430642,1,1.163356744907138,0.09207495133182726
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,2,0,0.9902715969706459,0.9987865133978122,0.365973569012873,0.27341222087226213,0.29253045804306493,1,1.1633567357224817,0.09207496103471027
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,3,2,0.9817170283212979,0.9945756709854459,0.21857591450533498,0.1854568106141009,0.0007863817003965429,1,0.9285787802005879,0.11437931118954267
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,4,3,0.9817170283212978,0.9945756709854457,0.21857591450533623,0.18545681061410085,0.0007863817003965665,1,0.928578780502477,0.11437931072501786
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,5,19,0.020253186707509273,0.026747387611437006,0.00407815182899483,0.0016849109721979942,0.0018228837304671657,1,2.0075355557579507e-05,0.0009546021117816624
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,6,89,0.020258760646312296,0.026746284949502923,0.004041323644562409,0.001684825563002877,0.0018294175347340806,1,1.787973506424882e-05,0.0013367738437133376
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,7,51,0.02024281349608709,0.026743126116371373,0.004112838019638368,0.0016850066288822173,0.0018156863160915925,1,1.5870736539387764e-05,0.00162169527041213
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,8,74,0.02025922662025233,0.026739500392337523,0.004002296597472192,0.0016847490041598182,0.0018352007215943714,1,1.0842075744964863e-05,0.003916254182477805
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,9,26,0.020227832329550895,0.026733713391423823,0.004145402207600071,0.0016851134037717626,0.001807907731129185,1,7.5569939358751455e-06,0.0044576233947310525
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,10,124,0.020254165666596945,0.02672661956101262,0.0039609817474954645,0.001684679462440127,0.0018401421173697737,1,3.595501684788652e-06,0.00807682435915812
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,11,54,0.020208310563022962,0.026719249787615806,0.0041758228225407526,0.0016852315588692301,0.00179962556634838,1,0.0,0.008489056870261337
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,12,116,0.020243055976625634,0.026707139802418803,0.003917262931086597,0.001684614766550356,0.001844146908280114,1,1.4530157985239418e-06,0.012714960639242757
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,13,30,0.020184185712670808,0.026699715924714325,0.004204032260062417,0.001685360673581091,0.0017909123891974047,1,0.0,0.012657044803942535
