label,phi,phi_over_pi,L,k_localized_modes,subspace_weight,absolute_contribution_w_loc3,absolute_contribution_w_loc5,absolute_contribution_P0,conditional_w_loc3,conditional_w_loc5,conditional_P0,weighted_tail_kappa,full_diag_w_loc3,full_diag_w_loc5,full_diag_P0
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,4,0.09393484104863398,0.07314045352810114,0.07769166038383885,0.014747681116828375,0.7786296619188751,0.8270803411868727,0.15699905330326674,0.7826840848777187,0.11383348103403124,0.1369985084959403,0.02535221090880652
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,8,0.18775299476476343,0.10249793071179253,0.11824337810907681,0.023250325946846596,0.5459190189760363,0.6297815822177669,0.12383464762294223,0.4331798830066629,0.11383348103403124,0.1369985084959403,0.02535221090880652
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,16,0.2064013177899997,0.10305986587822753,0.11897344205298349,0.023334401468914818,0.4993178676460023,0.57641803515049,0.11305354887635018,0.3941565619291904,0.11383348103403124,0.1369985084959403,0.02535221090880652
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,300,2,0.06144748417920549,0.06094883829834072,0.061312128903551644,0.014172494478385228,0.991885007376209,0.9977972202204554,0.23064401525459619,1.1340259382269027,0.11061520023400277,0.13195733512128563,0.024891735797113665
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,300,4,0.09393484104863914,0.07314045352810383,0.07769166038384241,0.014747681116828499,0.778629661918861,0.8270803411868652,0.15699905330325944,0.782684096818787,0.11061520023400277,0.13195733512128563,0.024891735797113665
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,300,8,0.18601043439416334,0.10239611102254323,0.11811626156658948,0.023233891142025766,0.550485844280982,0.6349980416490858,0.12490638612666345,0.437237952230586,0.11061520023400277,0.13195733512128563,0.024891735797113665
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,300,16,0.20345607163437063,0.10280596223241596,0.11862750685792399,0.02329905752887467,0.5052980793670674,0.5830620138538238,0.11451640318085582,0.3999224457057429,0.11061520023400277,0.13195733512128563,0.024891735797113665
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,2,0.06718054976689325,0.06660646336644163,0.06702235961023101,0.015095253935541775,0.9914545742414491,0.9976452982714321,0.22469679078126206,1.1247592925940335,0.1255317949460073,0.15358809122720626,0.023731757974901176
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,4,0.13712016003437055,0.10367692553480136,0.11424931994236442,0.017735744880749235,0.756102716834736,0.8332058532729737,0.12934454624545064,0.646716682937726,0.1255317949460073,0.15358809122720626,0.023731757974901176
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,8,0.161575816463309,0.10523156904443219,0.11622531124754495,0.017986920064767455,0.6512829168858225,0.7193236821671123,0.11132185780321874,0.5490954285730533,0.1255317949460073,0.15358809122720626,0.023731757974901176
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,16,0.20390240141159324,0.10741095418676226,0.11920195206058677,0.018467655073505736,0.5267763078961718,0.5846029827768832,0.09057105235473564,0.43532198502998215,0.1255317949460073,0.15358809122720626,0.023731757974901176
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,2,0.06718054976689283,0.06660646336644123,0.0670223596102306,0.015095253935541661,0.9914545742414493,0.9976452982714323,0.22469679078126173,1.1219197796589038,0.11926715459537758,0.14370918481730052,0.022808717006736725
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,4,0.13712016003436722,0.10367692553479835,0.11424931994236069,0.017735744880748906,0.7561027168347324,0.8332058532729667,0.1293445462454514,0.6454424963093683,0.11926715459537758,0.14370918481730052,0.022808717006736725
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,8,0.15635247216275971,0.1045895760961751,0.11545027085950423,0.01790369249112676,0.6689345851039662,0.738397476308036,0.11450853474506871,0.5661874451637765,0.11926715459537758,0.14370918481730052,0.022808717006736725
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,16,0.19149286343628014,0.10610378165039072,0.11741315771676072,0.01818713567854578,0.5540873938923426,0.6131463889035756,0.09497552729737944,0.4625658488700135,0.11926715459537758,0.14370918481730052,0.022808717006736725
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,2,0.06718054976689308,0.06660646336644148,0.06702235961023086,0.015095253935541699,0.9914545742414493,0.9976452982714323,0.22469679078126148,1.1219197764453204,0.11412123049258882,0.13562580897328966,0.022047926186917605
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,4,0.13712016003437125,0.10367692553480139,0.11424931994236442,0.01773574488074922,0.7561027168347324,0.8332058532729695,0.1293445462454499,0.6454424947348987,0.11412123049258882,0.13562580897328966,0.022047926186917605
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,8,0.14908464902600124,0.10411000260014554,0.11482201666516856,0.017798904282223305,0.6983281194966501,0.7701800112575167,0.11938790746402785,0.5936438040351,0.11412123049258882,0.13562580897328966,0.022047926186917605
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,16,0.17568471839834815,0.10493453986213196,0.11594720706728687,0.017972396391684152,0.5972889436188924,0.659973207256352,0.10229914448753293,0.504237843548742,0.11412123049258882,0.13562580897328966,0.022047926186917605
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,300,2,0.06718054976689325,0.06660646336644163,0.06702235961023101,0.015095253935541727,0.9914545742414491,0.9976452982714321,0.22469679078126134,1.1219197726340457,0.1104102040678722,0.12980857259156944,0.02149155603934098
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,300,4,0.13712016003436736,0.10367692553479955,0.1142493199423621,0.017735744880748954,0.7561027168347404,0.8332058532729761,0.1293445462454516,0.6454424928676225,0.1104102040678722,0.12980857259156944,0.02149155603934098
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,300,8,0.14614350729119482,0.10391455392803763,0.11456557352899155,0.017770745912996832,0.711044615351848,0.783925168161707,0.12159791592785678,0.6055908986681459,0.1104102040678722,0.12980857259156944,0.02149155603934098
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,300,16,0.16455113981665742,0.10433112473104744,0.11515299773292591,0.017856290424559964,0.6340346523718583,0.6998006690274474,0.1085151427359021,0.5379017176594166,0.1104102040678722,0.12980857259156944,0.02149155603934098
