policy,phi_index,phi,phi_over_pi,strict_raw_all_T,drift_raw_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,adv_v_T_last
scaled,37,3.2288591161895095,1.0277777777777777,1,1,1500,-0.05339690761112289,-0.006033904093826166,0.04948243189196013,0.0555163359857863
scaled,38,3.316125578789226,1.0555555555555556,1,1,1500,-0.05362010452593351,-0.006068807017036203,0.04440683584272467,0.050475642859760875
scaled,39,3.4033920413889427,1.0833333333333335,1,1,1500,-0.05400703793787017,-0.006126472901781015,0.03162493192171562,0.037751404823496634
scaled,40,3.490658503988659,1.1111111111111112,1,1,1500,-0.05454169960632338,-0.006206869914101742,0.012226335291214684,0.018433205205316425
scaled,41,3.5779249665883754,1.1388888888888888,1,0,1500,-0.055208996089624866,-0.006311905625957529,-0.017560162947484068,-0.011248257321526539
scaled,42,3.665191429188092,1.1666666666666665,1,0,1500,-0.055994370482850275,-0.006448140857472915,-0.05759808576607278,-0.051149944908599865
scaled,43,3.752457891787808,1.1944444444444444,1,0,1500,-0.05688820663526501,-0.006629755664889414,-0.10026974617627099,-0.09363999051138158
scaled,44,3.839724354387525,1.2222222222222223,1,0,1500,-0.057850150330558486,-0.006877641423544066,-0.1397615656927751,-0.132883924269231
scaled,45,3.9269908169872414,1.25,1,0,1500,-0.058818144098634464,-0.007207065194891552,-0.1700233342522162,-0.16281626905732463
scaled,46,4.014257279586958,1.2777777777777777,1,0,1500,-0.059709481522511654,-0.007603513783569625,-0.18500771984186595,-0.17740420605829632
scaled,47,4.101523742186674,1.3055555555555556,1,0,1500,-0.06040956970328348,-0.008019865663339685,-0.17967324819313152,-0.17165338252979184
scaled,48,4.1887902047863905,1.3333333333333333,1,0,1500,-0.06077946924695359,-0.00845134732429613,-0.15151803153426036,-0.1430666842099642
scaled,49,4.276056667386107,1.361111111111111,1,0,1500,-0.06081393122946497,-0.009002863405310852,-0.10299178093830874,-0.09398891753299789
scaled,50,4.363323129985823,1.3888888888888888,1,0,1500,-0.06062516233334298,-0.009699431677485913,-0.045804185720952316,-0.0361047540434664
scaled,51,4.4505895925855405,1.4166666666666667,1,0,1500,-0.06027076828227165,-0.010490117672067343,-0.004628776531187375,0.005861341140879968
scaled,52,4.537856055185257,1.4444444444444444,1,1,1500,-0.059788008374140514,-0.011549321887241592,0.011770983409696964,0.023320305296938557
scaled,53,4.625122517784973,1.4722222222222223,1,1,1500,-0.05920321872590446,-0.012615590210674906,0.008812465298984476,0.021428055509659382
scaled,54,4.71238898038469,1.5,1,1,1500,-0.05853643479925823,-0.014197588434723447,0.004984829363720427,0.019182417798443874
scaled,55,4.799655442984406,1.5277777777777777,1,1,1500,-0.0578033348486639,-0.01597534725714394,0.0011910011001092858,0.017166348357253225
scaled,56,4.886921905584122,1.5555555555555556,1,0,1500,-0.05701685214207072,-0.01833662887626301,-0.0028845487060706206,0.01545208017019239
scaled,57,4.974188368183839,1.5833333333333333,1,0,1500,-0.05618805955305833,-0.021291216766887777,-0.006423973358232273,0.014867243408655504
scaled,58,5.061454830783555,1.611111111111111,1,0,1500,-0.05532681627120872,-0.02520395664056502,-0.009534551798191902,0.01566940484237312
scaled,59,5.148721293383272,1.6388888888888888,1,0,1500,-0.05444243406039622,-0.030384257366201723,-0.01229700205708686,0.018087255309114862
scaled,60,5.235987755982989,1.6666666666666667,1,0,1500,-0.0535441144173143,-0.037597453888760395,-0.014382811896809773,0.02321464199195062
scaled,61,5.323254218582705,1.6944444444444444,1,0,1500,-0.05264137739862538,-0.04773625902647196,-0.016147682385117976,0.031588576641353984
scaled,62,5.410520681182422,1.7222222222222223,1,0,1500,-0.05174445215342117,-0.0620084114444838,-0.017188451689980795,0.03455600046344037
