policy,phi_index,phi,phi_over_pi,strict_all_T,drift_all_T,pp_primary_all_T,pp_sensitivity_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,w_loc3_ABB_T_last,w_loc5_ABB_T_last,adv_v_T_last
scaled,13,1.1344640137963142,0.3611111111111111,1,1,0,0,1500,-0.05444243406039638,-0.03038425736620183,0.12719351843648463,0.5315896082934727,0.5386879631192745,0.15757777580268645
scaled,14,1.2217304763960306,0.3888888888888889,1,1,0,0,1500,-0.05532681627120982,-0.02520395664056511,0.1325222407030111,0.5062702652783145,0.514127964678731,0.1577261973435762
scaled,15,1.3089969389957472,0.4166666666666667,1,1,0,0,1500,-0.05618805955305878,-0.021291216766887753,0.13547037759224947,0.4780972863236913,0.4870205046072831,0.15676159435913722
scaled,16,1.3962634015954636,0.4444444444444444,1,1,0,0,1500,-0.05701685214207132,-0.018336628876263108,0.1352243989508221,0.4466010002644771,0.4571366576769084,0.15356102782708522
scaled,17,1.48352986419518,0.4722222222222222,1,1,0,0,1500,-0.05780333484866449,-0.015975347257143998,0.13073105516880448,0.4099923391281121,0.42322700190286944,0.14670640242594848
scaled,18,1.5707963267948966,0.5,1,1,0,0,1500,-0.05853643479925874,-0.014197588434723485,0.12067465532125504,0.3625646613587652,0.3805449785224003,0.13487224375597853
scaled,19,1.658062789394613,0.5277777777777778,1,1,0,0,1500,-0.05920321872590563,-0.0126155902106749,0.10577493658194881,0.28084027610673107,0.30761837374965345,0.11839052679262371
scaled,20,1.7453292519943295,0.5555555555555556,1,1,0,1,1500,-0.05978800837414013,-0.0115493218872416,0.08864413387345428,0.0818033011973539,0.0916210061418531,0.10019345576069588
scaled,21,1.832595714594046,0.5833333333333333,1,1,0,0,1500,-0.060270768282271556,-0.010490117672067398,0.07927592369597787,0.19192526194487125,0.22095829292047445,0.08976604136804527
scaled,22,1.9198621771937625,0.6111111111111112,1,1,0,0,1500,-0.060625162333344806,-0.009699431677485928,0.08013509320788002,0.4101175387451207,0.44566463479372714,0.08983452488536595
scaled,50,4.363323129985823,1.3888888888888888,1,0,0,0,1500,-0.06062516233334298,-0.009699431677485913,-0.045804185720952316,0.3563193128398297,0.3710306975773852,-0.0361047540434664
scaled,51,4.4505895925855405,1.4166666666666667,1,0,0,0,1500,-0.06027076828227165,-0.010490117672067343,-0.004628776531187375,0.3589173730093279,0.3697973228894588,0.005861341140879968
scaled,52,4.537856055185257,1.4444444444444444,1,1,0,0,1500,-0.059788008374140514,-0.011549321887241592,0.011770983409696964,0.3940426080188312,0.4056097458436746,0.023320305296938557
scaled,53,4.625122517784973,1.4722222222222223,1,0,0,0,1500,-0.05920321872590446,-0.012615590210674906,0.008812465298984476,0.6636256437360989,0.6983668078969817,0.021428055509659382
scaled,54,4.71238898038469,1.5,1,0,0,0,1500,-0.05853643479925823,-0.014197588434723447,0.004984829363720427,0.7319108355698494,0.7546070383397262,0.019182417798443874
scaled,55,4.799655442984406,1.5277777777777777,1,0,0,0,1500,-0.0578033348486639,-0.01597534725714394,0.0011910011001092858,0.7465488459441004,0.7632350713489886,0.017166348357253225
scaled,56,4.886921905584122,1.5555555555555556,1,0,0,0,1500,-0.05701685214207072,-0.01833662887626301,-0.0028845487060706206,0.7419217336664664,0.7557516105130329,0.01545208017019239
scaled,57,4.974188368183839,1.5833333333333333,1,0,0,0,1500,-0.05618805955305833,-0.021291216766887777,-0.006423973358232273,0.7269737074791415,0.7391648932317595,0.014867243408655504
scaled,58,5.061454830783555,1.611111111111111,1,0,0,0,1500,-0.05532681627120872,-0.02520395664056502,-0.009534551798191902,0.7038413049942612,0.7152479348905566,0.01566940484237312
scaled,59,5.148721293383272,1.6388888888888888,1,0,0,0,1500,-0.05444243406039622,-0.030384257366201723,-0.01229700205708686,0.6727859116004117,0.6841691354374789,0.018087255309114862
scaled,60,5.235987755982989,1.6666666666666667,1,0,0,0,1500,-0.0535441144173143,-0.037597453888760395,-0.014382811896809773,0.6338488055246831,0.6455425589874619,0.02321464199195062
scaled,61,5.323254218582705,1.6944444444444444,1,0,0,0,1500,-0.05264137739862538,-0.04773625902647196,-0.016147682385117976,0.5862558839964576,0.5988322304050501,0.031588576641353984
scaled,62,5.410520681182422,1.7222222222222223,1,0,0,0,1500,-0.05174445215342117,-0.0620084114444838,-0.017188451689980795,0.5297395689498123,0.5438881652765114,0.03455600046344037
scaled,63,5.497787143782138,1.75,1,0,0,0,1500,-0.05086484261395963,-0.0801155833097249,-0.0172905608183942,0.4653634128548859,0.4813613554300355,0.03357428179556543
scaled,64,5.585053606381854,1.7777777777777777,1,0,0,0,1500,-0.05001552551420852,-0.09722974487381628,-0.016455884096286934,0.39423656469605517,0.41261130835333903,0.03355964141792159
scaled,65,5.672320068981571,1.8055555555555556,1,0,0,0,1500,-0.04921150314834503,-0.11246727290086904,-0.014631766311419886,0.31888316102245967,0.3390415674508562,0.03457973683692514
scaled,66,5.759586531581287,1.8333333333333333,1,0,0,0,1500,-0.048470000884670086,-0.12620155551063483,-0.011700366793024743,0.23840565113208403,0.2589908417999938,0.03676963409164534
scaled,67,5.8468529941810035,1.861111111111111,1,0,0,0,1500,-0.04781053242285191,-0.13861589480717276,-0.007820433593599362,0.14134414121198757,0.15313870889439143,0.03999009882925254
scaled,68,5.93411945678072,1.8888888888888888,1,0,0,0,1500,-0.04725405694031622,-0.14982865934572617,-0.004083615566477339,0.09897082697379019,0.1011253365745526,0.04317044137383889
scaled,69,6.021385919380437,1.9166666666666667,1,0,0,0,1500,-0.04682224919824176,-0.15991949843222605,-0.0034694858466351756,0.09320060965293483,0.09622687307354301,0.04335276335160659
scaled,70,6.1086523819801535,1.9444444444444444,1,0,0,0,1500,-0.04653493837449908,-0.1688931947450939,-0.0053603837723292394,0.0805727635884084,0.08573357034211457,0.041174554602169844
scaled,71,6.19591884457987,1.9722222222222223,1,0,0,0,1500,-0.046390081214874604,-0.17642687758630168,-0.010846138427670822,0.04470026091455776,0.052642030310347865,0.03554394278720378
